mean_test_score,metric_roc_auc,metric_average_precision,mean_fit_time,params,rank_test_scores,status,budgets,param_classifier:__choice__,param_data_preprocessor:__choice__,param_feature_preprocessor:__choice__,param_classifier:COPODClassifier:contamination,param_classifier:CBLOFClassifier:alpha,param_classifier:CBLOFClassifier:beta,param_classifier:CBLOFClassifier:contamination,param_classifier:CBLOFClassifier:n_clusters,param_classifier:CBLOFClassifier:use_weights,param_classifier:LOFClassifier:contamination,param_classifier:LOFClassifier:n_neighbors,param_classifier:LOFClassifier:p,param_classifier:IForestClassifier:bootstrap,param_classifier:IForestClassifier:contamination,param_classifier:IForestClassifier:max_features,param_classifier:IForestClassifier:max_samples,param_classifier:IForestClassifier:n_estimators,param_classifier:KNNClassifier:contamination,param_classifier:KNNClassifier:method,param_classifier:KNNClassifier:n_neighbors,param_classifier:KNNClassifier:p
0.766,0.766,0.8006845395244452,0.8742499351501465,"{'classifier:__choice__': 'COPODClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:COPODClassifier:contamination': 0.46}",1,Success,0.0,COPODClassifier,NoPreprocessing,no_preprocessing,0.46,,,,,,,,,,,,,,,,,
0.766,0.766,0.8006845395244452,0.8433597087860107,"{'classifier:__choice__': 'COPODClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:COPODClassifier:contamination': 0.17}",1,Success,0.0,COPODClassifier,NoPreprocessing,no_preprocessing,0.17,,,,,,,,,,,,,,,,,
0.766,0.766,0.8006845395244452,0.835012674331665,"{'classifier:__choice__': 'COPODClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:COPODClassifier:contamination': 0.24000000000000002}",1,Success,0.0,COPODClassifier,NoPreprocessing,no_preprocessing,0.24000000000000002,,,,,,,,,,,,,,,,,
0.766,0.766,0.8006845395244452,0.8471972942352295,"{'classifier:__choice__': 'COPODClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:COPODClassifier:contamination': 0.35000000000000003}",1,Success,0.0,COPODClassifier,NoPreprocessing,no_preprocessing,0.35000000000000003,,,,,,,,,,,,,,,,,
0.766,0.766,0.8006845395244452,0.8418655395507812,"{'classifier:__choice__': 'COPODClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:COPODClassifier:contamination': 0.44}",1,Success,0.0,COPODClassifier,NoPreprocessing,no_preprocessing,0.44,,,,,,,,,,,,,,,,,
0.766,0.766,0.8006845395244452,0.8357384204864502,"{'classifier:__choice__': 'COPODClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:COPODClassifier:contamination': 0.18000000000000002}",1,Success,0.0,COPODClassifier,NoPreprocessing,no_preprocessing,0.18000000000000002,,,,,,,,,,,,,,,,,
0.766,0.766,0.8006845395244452,0.84517502784729,"{'classifier:__choice__': 'COPODClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:COPODClassifier:contamination': 0.45}",1,Success,0.0,COPODClassifier,NoPreprocessing,no_preprocessing,0.45,,,,,,,,,,,,,,,,,
0.766,0.766,0.8006845395244452,0.8411147594451904,"{'classifier:__choice__': 'COPODClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:COPODClassifier:contamination': 0.32}",1,Success,0.0,COPODClassifier,NoPreprocessing,no_preprocessing,0.32,,,,,,,,,,,,,,,,,
0.766,0.766,0.8006845395244452,0.8330564498901367,"{'classifier:__choice__': 'COPODClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:COPODClassifier:contamination': 0.5}",1,Success,0.0,COPODClassifier,NoPreprocessing,no_preprocessing,0.5,,,,,,,,,,,,,,,,,
0.766,0.766,0.8006845395244452,0.872178316116333,"{'classifier:__choice__': 'COPODClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:COPODClassifier:contamination': 0.14}",1,Success,0.0,COPODClassifier,NoPreprocessing,no_preprocessing,0.14,,,,,,,,,,,,,,,,,
