mean_test_score,metric_roc_auc,metric_average_precision,mean_fit_time,params,rank_test_scores,status,budgets,param_classifier:__choice__,param_data_preprocessor:__choice__,param_feature_preprocessor:__choice__,param_classifier:COPODClassifier:contamination,param_classifier:IForestClassifier:bootstrap,param_classifier:IForestClassifier:contamination,param_classifier:IForestClassifier:max_features,param_classifier:IForestClassifier:max_samples,param_classifier:IForestClassifier:n_estimators,param_classifier:LOFClassifier:contamination,param_classifier:LOFClassifier:n_neighbors,param_classifier:LOFClassifier:p,param_classifier:KNNClassifier:contamination,param_classifier:KNNClassifier:method,param_classifier:KNNClassifier:n_neighbors,param_classifier:KNNClassifier:p,param_classifier:CBLOFClassifier:alpha,param_classifier:CBLOFClassifier:beta,param_classifier:CBLOFClassifier:contamination,param_classifier:CBLOFClassifier:n_clusters,param_classifier:CBLOFClassifier:use_weights
0.8217,0.8217,0.8261768159794729,0.7197709083557129,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.3, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.25, 'classifier:IForestClassifier:n_estimators': 35}",8,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,,False,0.3,1.0,0.25,35.0,,,,,,,,,,,,
0.7864,0.7864,0.8001510857903844,1.6569502353668213,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.45, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.7, 'classifier:IForestClassifier:n_estimators': 185}",25,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,,False,0.45,1.0,0.7,185.0,,,,,,,,,,,,
0.7711,0.7711,0.7971577919606436,0.9742848873138428,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.25, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.95, 'classifier:IForestClassifier:n_estimators': 70}",47,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,,False,0.25,1.0,0.95,70.0,,,,,,,,,,,,
0.7686999999999999,0.7686999999999999,0.7841527930419998,1.4010801315307617,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.25, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.65, 'classifier:IForestClassifier:n_estimators': 140}",51,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,,False,0.25,1.0,0.65,140.0,,,,,,,,,,,,
0.7631,0.7631,0.7869703906627736,1.6048407554626465,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.45, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.5, 'classifier:IForestClassifier:n_estimators': 180}",59,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,,False,0.45,1.0,0.5,180.0,,,,,,,,,,,,
0.7547,0.7547,0.7799313316243701,1.1347649097442627,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.35000000000000003, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.95, 'classifier:IForestClassifier:n_estimators': 100}",71,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,,False,0.35000000000000003,1.0,0.95,100.0,,,,,,,,,,,,
0.8267999999999999,0.8267999999999999,0.8203479938486169,0.6385898590087891,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.35000000000000003, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 1.0, 'classifier:IForestClassifier:n_estimators': 20}",6,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,,False,0.35000000000000003,1.0,1.0,20.0,,,,,,,,,,,,
0.7518,0.7518,0.7786805867444093,1.37477707862854,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.35000000000000003, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.45, 'classifier:IForestClassifier:n_estimators': 140}",76,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,,False,0.35000000000000003,1.0,0.45,140.0,,,,,,,,,,,,
0.7559,0.7559,0.7769747499681925,1.3177831172943115,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.15000000000000002, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.5, 'classifier:IForestClassifier:n_estimators': 130}",67,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,,False,0.15000000000000002,1.0,0.5,130.0,,,,,,,,,,,,
0.7611,0.7611,0.7855942275733745,1.6639859676361084,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': 'False', 'classifier:IForestClassifier:contamination': 0.4, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 0.6000000000000001, 'classifier:IForestClassifier:n_estimators': 190}",60,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,,False,0.4,1.0,0.6000000000000001,190.0,,,,,,,,,,,,
